rho,time
98,0.1403
77,0.1911
54,0.1874
41,0.1161
21,0.1647
14,0.1641
20,0.09001
15,0.1818
17,0.1814
14,0.1214
14,0.1802
13,0.1798
98,0.1514
77,0.2395
54,0.1759
41,0.2685
21,0.1699
14,0.1657
20,0.09539
15,0.1822
17,0.2726
14,0.1792
14,0.1789
13,0.3355
98,0.1503
77,0.1866
54,0.1735
41,0.1686
21,0.1647
14,0.1641
20,0.09673
15,0.1831
17,0.2855
14,0.1835
14,0.1791
13,0.2891
98,0.1481
77,0.1854
54,0.1912
41,0.1133
21,0.165
14,0.1633
20,0.09506
15,0.1828
17,0.2851
14,0.1797
14,0.1824
13,0.1799
98,0.1503
77,0.1855
54,0.1947
41,0.1782
21,0.1682
14,0.1649
20,0.0943
15,0.1833
17,0.2922
14,0.1829
14,0.1804
13,0.2902
98,0.1484
77,0.1853
54,0.1706
41,0.1701
21,0.1647
14,0.1048
20,0.09629
15,0.1844
17,0.1839
14,0.1811
14,0.179
13,0.2915
98,0.1538
77,0.299
54,0.1421
41,0.2396
21,0.1408
14,0.114
20,0.09377
15,0.1838
17,0.3052
14,0.1826
14,0.18
13,0.2582
98,0.1514
77,0.1975
54,0.1157
41,0.1099
21,0.2071
14,0.2038
20,0.09497
15,0.1835
17,0.3127
14,0.1801
14,0.1824
13,0.31
98,0.1504
77,0.1923
54,0.1776
41,0.1707
21,0.169
14,0.06947
20,0.09695
15,0.2013
17,0.187
14,0.1861
14,0.1913
13,0.3142
98,0.1486
77,0.1858
54,0.2074
41,0.1088
21,0.1673
14,0.1089
20,0.09398
15,0.1831
17,0.181
14,0.1826
14,0.1801
13,0.1791
