rho,time
98,0.165
77,0.1463
54,0.1371
41,0.1298
21,0.1339
14,0.147
20,0.1416
15,0.1404
17,0.1378
14,0.1397
14,0.1391
13,0.1394
98,0.1656
77,0.1448
54,0.1344
41,0.1292
21,0.1339
14,0.1318
20,0.1357
15,0.1409
17,0.1374
14,0.1384
14,0.1387
13,0.1395
98,0.1614
77,0.1444
54,0.1341
41,0.1317
21,0.1334
14,0.1317
20,0.137
15,0.1412
17,0.1382
14,0.1507
14,0.1387
13,0.1397
98,0.1617
77,0.1447
54,0.1343
41,0.1292
21,0.1329
14,0.1314
20,0.1357
15,0.14
17,0.138
14,0.1384
14,0.1408
13,0.1386
98,0.1597
77,0.1433
54,0.134
41,0.1292
21,0.1328
14,0.1314
20,0.1349
15,0.1393
17,0.1373
14,0.1377
14,0.1392
13,0.1391
98,0.1605
77,0.1438
54,0.1344
41,0.1299
21,0.1338
14,0.1315
20,0.1353
15,0.1392
17,0.1378
14,0.1382
14,0.138
13,0.1389
98,0.1652
77,0.144
54,0.1346
41,0.1295
21,0.133
14,0.132
20,0.1364
15,0.1402
17,0.1378
14,0.1382
14,0.1387
13,0.1405
98,0.1622
77,0.1443
54,0.1345
41,0.1293
21,0.1331
14,0.1317
20,0.1362
15,0.1402
17,0.1375
14,0.1381
14,0.1383
13,0.1393
98,0.1614
77,0.1449
54,0.1401
41,0.1299
21,0.1334
14,0.1317
20,0.1379
15,0.1406
17,0.1386
14,0.1385
14,0.139
13,0.1399
98,0.1617
77,0.1476
54,0.1361
41,0.1294
21,0.1332
14,0.1316
20,0.1362
15,0.1403
17,0.1387
14,0.1394
14,0.1393
13,0.1405
