rho,time
1998,4.16577
1991,4.82384
1989,4.7979
1958,4.68854
1953,4.6207
1968,4.59711
1961,4.57375
1948,4.55285
1956,4.52399
1916,4.50444
1914,4.50877
1921,4.50393
1896,4.47835
1909,4.46661
1879,4.45814
1887,4.4327
1887,4.41596
1869,4.41846
1855,4.38627
1864,4.37186
1857,4.38053
1847,4.35767
1837,4.35792
1825,4.33786
1834,4.38052
1829,4.38223
1815,4.35243
1796,12.7463
1784,24.0235
1798,4.34343
1795,4.33472
1781,4.34224
1769,4.31709
1764,4.29839
1757,4.30324
1740,4.28173
1734,4.2116
1751,3.89632
1767,4.44584
1749,2.81773
1725,4.24017
1704,4.25671
1718,4.22546
1707,4.22419
1688,3.8131
1703,4.20177
1702,4.28546
1682,4.18428
1682,3.81523
1675,4.2001
1665,4.18665
1674,4.17676
1672,4.17463
1657,4.16401
1647,4.15264
1631,4.15177
1645,4.13456
1612,4.14859
1639,4.13408
1630,4.12502
1618,4.12672
1627,4.2356
1603,4.23309
1602,4.2292
1589,15.9311
1582,4.21066
1580,4.20837
1585,4.19604
1575,15.5397
1556,4.18377
1568,4.18542
1562,4.18003
1561,4.17087
1540,4.17454
1532,4.16461
1545,4.0943
1548,4.15292
1523,4.39336
1522,4.13958
1507,4.15065
1508,12.0433
1516,4.13623
1503,4.30593
1516,3.02376
1486,4.11544
1489,4.11646
1475,4.10779
1481,4.09994
1479,4.1
1471,4.06768
1466,4.08126
1449,4.08007
1445,4.0993
1447,4.0892
1459,4.0735
1445,4.05192
1428,4.03527
1427,4.04572
1432,4.04768
1413,4.04256
1415,4.06493
1406,4.06549
1412,4.05314
1400,4.05106
1392,4.05626
1393,4.03781
1392,4.02637
1362,4.02881
1374,4.02474
1392,4.01372
1374,4.02052
1356,4.01716
1347,4.01212
1346,4.01432
1342,4.00802
1347,4.00128
1339,3.99152
1302,4.01096
1328,3.99902
1331,3.98887
1311,3.97495
1297,3.985
1309,3.96533
1306,3.95988
1299,3.96869
1279,3.95506
1275,3.96043
1290,3.95807
1280,3.9532
1274,3.95989
1264,3.94578
1254,23.8824
1268,3.82561
1258,3.96333
1257,3.95555
1244,3.92636
1248,3.93052
1252,3.92117
1252,4.20264
1224,4.20975
1239,4.2096
1224,4.2082
1221,4.21543
1208,4.20921
1188,4.20364
1195,4.1987
1197,4.19276
824,1.95589
1047,4.44728
1088,4.37917
1137,4.53646
1154,4.42017
1160,4.42113
1157,4.43314
1182,4.42351
1170,4.42791
1195,4.28355
1156,4.42493
1139,4.42218
1160,4.42491
1162,4.41959
1173,4.55563
1151,4.42667
1099,4.43097
1116,4.44672
1148,4.30315
1158,4.42451
1122,4.30518
1116,69.6026
1110,4.4385
1132,4.37502
1115,4.44482
1107,4.443
1105,70.9431
1133,4.31211
1122,4.3676
1119,4.53774
1105,4.41857
1103,4.37643
1105,4.37251
1105,4.43711
1118,4.36357
1074,4.43017
1073,4.42827
1063,4.3792
1064,4.38114
1062,4.38014
1089,4.37499
1083,4.38025
1043,4.37788
1033,4.40003
1035,4.37818
1019,4.38011
1020,4.34216
1012,4.37501
1037,4.29326
1040,4.20269
1033,4.34477
1010,4.31914
1026,4.38716
1016,4.33178
1011,4.38437
1000,4.32559
1001,4.32733
1010,4.36212
977,4.32229
1004,4.16255
978,4.30277
979,4.30933
965,4.30416
935,4.17932
990,4.30535
1002,4.30668
957,54.5144
947,4.13694
937,4.16586
936,4.32537
942,4.31118
931,4.17621
926,4.30859
927,4.29919
932,4.16452
962,4.30797
956,4.27256
955,4.24905
911,4.25524
941,4.23793
927,4.27155
890,4.27079
931,4.26869
921,4.2504
903,4.25483
911,4.25311
925,4.22965
898,4.26069
897,4.27053
885,4.14125
879,4.29766
876,4.16866
854,4.1632
860,4.30051
897,4.15852
876,4.29363
851,4.28725
878,4.2601
889,4.16082
854,4.29567
865,4.30068
873,4.29108
821,4.29967
810,4.11272
843,4.25337
839,4.25004
868,4.25194
819,4.12711
850,4.27492
867,4.12635
859,4.25714
811,4.12289
827,4.1809
811,4.17215
780,4.2973
791,4.16642
799,4.15838
798,4.30028
794,4.30016
789,4.26326
792,4.11497
785,4.24596
826,4.19417
829,4.19887
801,4.18618
756,4.16
782,4.19327
781,4.19652
764,4.1528
774,4.19194
786,4.19236
758,4.18326
748,4.20544
800,4.21512
730,24.3923
775,4.20391
733,4.20109
728,4.20249
769,4.18837
707,4.19694
730,4.20005
697,4.21054
762,4.16738
711,4.15538
742,4.14161
726,4.19504
704,4.20354
1998,4.54974
1991,5.13227
1989,4.85473
1958,4.86942
1953,4.71437
1968,4.66585
1961,4.63406
1948,4.59831
1956,4.57467
1916,4.55295
1914,4.60191
1921,4.52713
1896,4.50317
1909,4.4903
1879,4.46689
1887,4.45354
1887,4.44004
1869,4.41986
1855,4.40373
1864,4.39562
1857,4.39141
1847,4.36802
1837,4.36129
1825,4.35145
1834,4.41994
1829,4.37436
1815,4.37574
1796,4.38756
1784,4.37128
1798,4.37589
1795,4.36797
1781,4.35184
1769,4.34838
1764,4.32877
1757,4.38357
1740,4.30854
1734,4.36353
1751,4.30408
1767,4.27685
1749,4.30245
1725,4.26466
1704,4.25869
1718,4.25795
1707,4.24242
1688,4.22144
1703,4.22777
1702,4.22577
1682,4.2276
1682,4.21023
1675,4.21254
1665,4.20535
1674,4.2059
1672,4.19264
1657,4.18092
1647,4.1825
1631,4.21411
1645,4.1689
1612,4.1666
1639,4.18262
1630,4.13813
1618,4.11701
1627,4.26725
1603,4.25313
1602,4.2363
1589,4.26233
1582,4.26028
1580,35.5759
1585,4.19317
1575,4.18887
1556,4.18769
1568,4.2024
1562,4.17641
1561,4.17334
1540,4.18446
1532,4.17675
1545,4.17402
1548,4.15007
1523,4.14834
1522,4.15479
1507,4.14186
1508,4.14534
1516,4.13593
1503,4.13415
1516,4.15701
1486,4.14141
1489,4.13918
1475,4.13457
1481,4.12541
1479,4.12561
1471,4.12679
1466,4.12183
1449,4.12354
1445,4.11687
1447,4.12131
1459,4.08363
1445,4.09132
1428,4.08302
1427,4.08797
1432,4.08736
1413,4.07407
1415,4.10589
1406,4.07117
1412,4.06911
1400,4.05433
1392,4.03315
1393,4.03378
1392,4.02695
1362,4.01968
1374,4.02749
1392,6.73392
1374,4.15978
1356,4.18142
1347,4.01204
1346,6.45166
1342,6.17489
1347,3.75911
1339,4.14477
1302,2.33765
1328,3.77032
1331,3.98055
1311,3.9833
1297,3.9747
1309,3.96861
1306,3.9741
1299,3.98275
1279,3.98708
1275,4.05122
1290,8.69594
1280,3.96046
1274,3.95152
1264,3.9582
1254,3.95846
1268,3.9276
1258,3.93163
1257,3.93914
1244,3.93895
1248,3.94531
1252,3.9349
1252,4.20834
1224,4.20994
1239,10.7568
1224,10.243
1221,4.20998
1208,4.20876
1188,4.20203
1195,4.22312
1197,4.20212
824,2.12488
1047,4.56927
1088,4.45612
1137,4.5982
1154,4.51727
1160,4.46817
1157,4.47774
1182,4.46907
1170,4.46253
1195,4.33994
1156,4.45563
1139,4.47607
1160,4.44979
1162,4.44157
1173,4.57592
1151,4.45671
1099,4.53485
1116,4.44573
1148,4.30783
1158,4.47705
1122,4.34832
1116,4.47535
1110,4.47093
1132,4.40666
1115,4.47069
1107,4.44989
1105,4.42236
1133,4.39959
1122,4.39641
1119,4.54558
1105,4.46621
1103,4.39414
1105,4.40238
1105,4.44851
1118,4.37681
1074,4.44029
1073,4.4363
1063,4.39773
1064,4.43666
1062,4.43458
1089,4.43759
1083,4.42917
1043,4.42692
1033,4.40963
1035,4.4109
1019,4.42286
1020,89.5948
1012,4.47301
1037,4.33963
1040,4.23691
1033,4.39599
1010,4.35637
1026,4.41983
1016,4.35015
1011,4.42482
1000,4.36083
1001,4.36049
1010,4.40399
977,4.39412
1004,4.27829
978,4.39917
979,4.41316
965,4.3806
935,4.24929
990,4.38012
1002,4.35968
957,83.3573
947,4.26337
937,4.22677
936,4.34059
942,4.36836
931,4.21007
926,4.34619
927,4.33412
932,4.22458
962,4.3728
956,4.34255
955,4.33305
911,4.34802
941,4.33941
927,4.34037
890,4.3453
931,4.33527
921,4.35697
903,4.28995
911,4.27074
925,4.28384
898,4.31284
897,4.31924
885,4.18386
879,4.32331
876,4.21875
854,4.19931
860,4.31497
897,4.1993
876,4.31984
851,4.31108
878,4.30649
889,4.18896
854,4.31236
865,4.30833
873,4.29767
821,4.29417
810,4.16938
843,4.30077
839,4.30036
868,4.28207
819,4.17077
850,4.31769
867,4.16675
859,4.28691
811,4.22052
827,4.18076
811,24.4283
780,4.28534
791,32.9026
799,4.15132
798,31.3808
794,34.7803
789,4.30378
792,4.14412
785,4.29356
826,4.24259
829,4.24255
801,4.2393
756,4.22247
782,4.24088
781,4.24738
764,4.23251
774,4.2279
786,4.26525
758,4.22439
748,4.24527
800,4.2325
730,4.22242
775,4.22878
733,4.22523
728,4.20646
769,4.21017
707,4.20566
730,4.22733
697,4.21109
762,4.20646
711,4.20908
742,4.20155
726,4.20689
704,4.1881
1998,4.31718
1991,4.85585
1989,4.81958
1958,4.70793
1953,4.64425
1968,4.62082
1961,4.5967
1948,4.5616
1956,4.54359
1916,4.53854
1914,4.54106
1921,4.52002
1896,4.50037
1909,4.4875
1879,4.46096
1887,4.46005
1887,4.43056
1869,4.4197
1855,4.40577
1864,4.39389
1857,4.38531
1847,4.37772
1837,4.36787
1825,4.34103
1834,4.4078
1829,4.39162
1815,4.37712
1796,4.37127
1784,4.35343
1798,4.34757
1795,4.33143
1781,4.3271
1769,4.30132
1764,4.32939
1757,4.32282
1740,4.32269
1734,4.2913
1751,3.92357
1767,4.24841
1749,4.23605
1725,4.23011
1704,4.22151
1718,4.20353
1707,4.1983
1688,4.19815
1703,4.33315
1702,2.85864
1682,4.23367
1682,4.22311
1675,4.22113
1665,4.21833
1674,4.22343
1672,4.23929
1657,4.19618
1647,4.18676
1631,4.17454
1645,4.17408
1612,4.17067
1639,4.15052
1630,4.16018
1618,4.14755
1627,4.24406
1603,4.2452
1602,4.24882
1589,4.23489
1582,4.22598
1580,4.21378
1585,4.22505
1575,4.21444
1556,4.19841
1568,4.19125
1562,4.18544
1561,4.17647
1540,4.17511
1532,4.15347
1545,4.16277
1548,4.15856
1523,4.163
1522,4.1643
1507,4.29897
1508,4.12173
1516,4.12203
1503,2.81634
1516,4.14537
1486,4.13466
1489,4.13319
1475,4.12824
1481,4.11784
1479,4.11315
1471,4.10602
1466,4.10221
1449,4.09098
1445,4.09034
1447,4.08927
1459,4.07688
1445,4.08229
1428,4.09369
1427,4.05814
1432,4.05395
1413,4.05659
1415,4.05052
1406,4.06069
1412,4.0401
1400,4.02377
1392,4.02349
1393,4.0209
1392,4.02267
1362,4.01338
1374,3.99797
1392,4.00066
1374,3.99893
1356,3.99009
1347,4.00769
1346,4.00666
1342,4.00655
1347,3.99616
1339,3.99701
1302,3.99496
1328,3.9961
1331,4.03036
1311,4.00406
1297,4.00588
1309,3.99551
1306,3.98801
1299,3.98687
1279,3.99226
1275,3.98218
1290,3.97955
1280,3.92241
1274,3.94681
1264,3.92304
1254,3.9271
1268,3.91647
1258,3.91647
1257,5.35043
1244,3.93894
1248,3.94509
1252,3.95229
1252,4.21117
1224,4.21193
1239,4.2019
1224,4.19157
1221,4.20734
1208,4.19854
1188,4.20681
1195,4.20925
1197,4.20395
824,1.95456
1047,4.45631
1088,4.40724
1137,4.53863
1154,4.42631
1160,4.41752
1157,4.43634
1182,4.43331
1170,4.43174
1195,4.31795
1156,4.44362
1139,4.4302
1160,4.43224
1162,4.4278
1173,4.58608
1151,4.43569
1099,4.50145
1116,4.49798
1148,4.36374
1158,4.48323
1122,4.3876
1116,4.5156
1110,4.51326
1132,4.44916
1115,4.5061
1107,4.46704
1105,75.1568
1133,4.36051
1122,4.4187
1119,4.56979
1105,4.48428
1103,4.43074
1105,4.43087
1105,4.49151
1118,4.41735
1074,4.48999
1073,4.49211
1063,4.44133
1064,4.49784
1062,4.48014
1089,4.49668
1083,4.48082
1043,4.46108
1033,4.45683
1035,4.46223
1019,4.47048
1020,4.40267
1012,4.41052
1037,4.33502
1040,4.22658
1033,4.39009
1010,4.34523
1026,4.40649
1016,4.35152
1011,4.41648
1000,4.34891
1001,4.3548
1010,4.37743
977,4.38516
1004,4.24141
978,4.35806
979,4.3948
965,4.39427
935,4.20129
990,4.3155
1002,4.31484
957,4.31017
947,4.20384
937,4.20412
936,4.35762
942,4.35556
931,4.22748
926,4.35007
927,4.37131
932,4.22437
962,4.36099
956,4.3375
955,4.34019
911,4.32799
941,4.33607
927,4.2945
890,4.30909
931,4.31625
921,4.35323
903,4.30725
911,4.30644
925,4.31619
898,4.31373
897,4.30962
885,4.19833
879,4.31973
876,4.19076
854,4.19891
860,4.30778
897,4.19969
876,4.32307
851,4.34238
878,4.32151
889,4.20345
854,4.3145
865,4.32057
873,4.30508
821,4.30062
810,4.17382
843,4.26366
839,4.26463
868,4.26336
819,4.12194
850,4.25199
867,4.08751
859,4.20455
811,4.13908
827,4.12727
811,4.1038
780,4.27679
791,4.0929
799,4.16035
798,4.33091
794,4.34871
789,4.26216
792,4.10361
785,4.26603
826,4.19108
829,4.20696
801,4.22138
756,4.2
782,4.21651
781,4.22078
764,4.17901
774,4.19206
786,4.19049
758,4.16964
748,4.19199
800,4.19452
730,4.17989
775,4.20208
733,4.14159
728,4.15997
769,4.17142
707,4.16913
730,4.16829
697,4.18602
762,4.19727
711,4.20369
742,4.2095
726,4.18535
704,4.17931
1998,4.18291
1991,4.88836
1989,4.82998
1958,4.73761
1953,4.67919
1968,4.65846
1961,4.62236
1948,4.60036
1956,4.56592
1916,4.54291
1914,4.5526
1921,4.53294
1896,4.50235
1909,4.49651
1879,4.49513
1887,4.47725
1887,4.43944
1869,4.42547
1855,4.42161
1864,4.40212
1857,4.40527
1847,4.3854
1837,4.37101
1825,4.36336
1834,4.41345
1829,4.39398
1815,4.39202
1796,4.37657
1784,4.36946
1798,4.36862
1795,4.34864
1781,4.35655
1769,4.32772
1764,10.5483
1757,2.86272
1740,4.82657
1734,3.27448
1751,3.75418
1767,3.65809
1749,3.12659
1725,4.24499
1704,4.2526
1718,4.22878
1707,4.22789
1688,3.64617
1703,4.21258
1702,11.252
1682,3.61305
1682,2.99335
1675,4.18406
1665,4.17773
1674,4.18095
1672,4.16494
1657,4.16239
1647,4.17077
1631,4.16439
1645,4.14969
1612,4.14221
1639,4.15054
1630,4.14892
1618,4.13897
1627,4.26306
1603,4.25774
1602,4.24818
1589,16.6441
1582,4.21592
1580,4.21221
1585,27.3627
1575,3.3137
1556,4.17973
1568,4.1846
1562,4.17245
1561,4.16962
1540,4.17714
1532,4.14399
1545,4.14117
1548,4.13934
1523,4.14167
1522,4.13756
1507,4.11582
1508,4.13558
1516,4.11769
1503,4.09863
1516,4.10975
1486,4.11542
1489,4.11537
1475,4.10571
1481,4.10224
1479,4.09783
1471,4.10219
1466,4.0956
1449,4.08884
1445,4.06519
1447,4.06785
1459,4.05682
1445,4.05908
1428,4.05138
1427,4.05391
1432,4.03579
1413,4.07174
1415,4.03783
1406,4.03696
1412,4.05348
1400,10.824
1392,4.04032
1393,4.03583
1392,4.035
1362,4.01729
1374,4.03022
1392,4.01012
1374,4.02024
1356,4.02751
1347,19.447
1346,3.98839
1342,10.0867
1347,4.21424
1339,2.77904
1302,10.7824
1328,3.07719
1331,1.76265
1311,4.00234
1297,4.01476
1309,4.00524
1306,3.99253
1299,4.0048
1279,3.98235
1275,3.97233
1290,3.98071
1280,3.97639
1274,3.95284
1264,3.93697
1254,3.92708
1268,3.93484
1258,3.9456
1257,3.93871
1244,3.94716
1248,3.91993
1252,3.92676
1252,4.1959
1224,4.19277
1239,4.1914
1224,4.19817
1221,4.22795
1208,4.22279
1188,4.21916
1195,4.20061
1197,54.8399
824,1.95192
1047,4.48996
1088,4.41289
1137,4.57954
1154,4.46377
1160,4.46335
1157,4.47906
1182,4.4711
1170,4.47177
1195,4.33788
1156,4.46976
1139,4.46929
1160,4.46691
1162,4.45931
1173,4.5975
1151,4.47149
1099,4.4511
1116,4.42061
1148,4.28038
1158,4.39988
1122,4.30861
1116,4.42676
1110,4.43482
1132,4.37467
1115,4.4245
1107,4.41964
1105,4.37763
1133,4.31431
1122,4.35758
1119,4.55734
1105,4.42099
1103,4.38315
1105,4.38619
1105,4.44473
1118,4.38667
1074,4.44188
1073,4.44569
1063,4.39294
1064,4.40043
1062,4.39367
1089,4.39193
1083,4.40188
1043,4.39389
1033,4.43859
1035,4.43524
1019,4.42657
1020,4.38431
1012,4.40668
1037,4.3067
1040,4.24078
1033,4.38566
1010,4.32125
1026,4.38403
1016,4.32561
1011,4.40042
1000,4.31359
1001,4.31218
1010,4.36203
977,4.35659
1004,4.22884
978,4.34901
979,4.37503
965,4.35559
935,4.23198
990,4.3539
1002,4.3551
957,4.35089
947,4.23426
937,4.21769
936,4.35321
942,4.36487
931,4.22702
926,4.3517
927,4.34845
932,4.22219
962,4.35576
956,4.35972
955,4.33431
911,4.33356
941,4.32827
927,4.33135
890,30.3965
931,4.32775
921,4.33196
903,4.2934
911,4.31195
925,4.31336
898,4.32178
897,4.32243
885,4.211
879,4.34984
876,4.21852
854,4.22812
860,4.34007
897,4.21124
876,4.33202
851,4.33363
878,4.33505
889,4.20856
854,4.29333
865,4.2914
873,4.30639
821,4.28251
810,4.16065
843,4.27096
839,4.27483
868,4.27609
819,4.16856
850,4.30351
867,4.18164
859,4.31783
811,4.17867
827,4.16869
811,4.16474
780,4.29495
791,4.15384
799,4.14913
798,4.29857
794,4.28646
789,4.24698
792,4.11937
785,4.26318
826,4.19999
829,4.20882
801,4.2077
756,4.20236
782,4.21021
781,4.2016
764,4.19408
774,4.19802
786,4.20506
758,4.18825
748,4.19835
800,4.20193
730,4.18543
775,4.23216
733,4.22161
728,4.1746
769,4.17495
707,4.19369
730,4.1964
697,4.19602
762,4.24278
711,4.22907
742,4.22675
726,4.21925
704,4.20884
1998,4.19444
1991,4.86724
1989,4.80524
1958,4.70601
1953,4.65909
1968,4.63367
1961,4.63392
1948,4.60739
1956,4.57688
1916,4.5608
1914,4.55962
1921,4.53497
1896,4.51765
1909,4.49909
1879,4.46619
1887,4.44869
1887,4.43636
1869,4.42125
1855,4.39611
1864,4.39117
1857,4.36922
1847,4.36993
1837,4.37042
1825,4.35589
1834,4.3974
1829,4.38621
1815,4.36605
1796,4.36051
1784,4.34817
1798,4.33677
1795,4.33868
1781,4.33703
1769,4.31144
1764,4.30488
1757,4.29279
1740,4.2786
1734,4.2701
1751,4.25846
1767,4.26118
1749,4.23655
1725,4.26321
1704,4.26376
1718,13.0238
1707,22.8029
1688,3.09058
1703,4.21519
1702,4.20572
1682,16.9143
1682,3.09498
1675,4.21333
1665,4.20297
1674,4.19438
1672,4.18687
1657,4.17721
1647,4.17234
1631,4.16973
1645,4.15697
1612,4.1595
1639,4.15202
1630,4.14762
1618,4.13725
1627,12.9986
1603,2.91862
1602,4.20862
1589,4.20724
1582,12.8516
1580,3.1233
1585,4.21143
1575,4.4249
1556,4.1666
1568,4.16408
1562,4.25593
1561,4.13769
1540,4.53336
1532,4.12022
1545,4.5074
1548,4.10784
1523,4.33436
1522,4.10629
1507,4.1041
1508,4.16706
1516,4.09931
1503,4.09212
1516,4.19405
1486,4.10894
1489,4.10623
1475,4.11187
1481,4.09214
1479,4.08573
1471,4.09781
1466,4.0764
1449,4.07932
1445,4.06806
1447,4.06758
1459,4.06194
1445,4.05764
1428,4.03764
1427,4.04601
1432,4.0418
1413,18.9201
1415,4.04813
1406,4.03738
1412,4.02879
1400,15.5316
1392,4.02839
1393,4.03639
1392,4.03663
1362,4.02223
1374,4.00919
1392,3.99166
1374,4.00832
1356,4.01108
1347,4.0125
1346,4.00987
1342,4.01277
1347,4.00055
1339,3.9893
1302,3.98669
1328,3.98697
1331,3.97425
1311,3.96108
1297,3.96545
1309,3.97665
1306,3.95946
1299,3.96675
1279,3.95572
1275,3.95503
1290,3.94637
1280,3.94615
1274,3.94484
1264,3.93076
1254,3.93925
1268,23.9399
1258,2.10007
1257,2.46556
1244,3.92847
1248,3.93642
1252,3.92627
1252,4.20116
1224,4.19928
1239,4.19685
1224,4.19128
1221,4.18679
1208,4.1832
1188,4.19054
1195,28.5102
1197,1.57704
824,1.94966
1047,4.45922
1088,4.37068
1137,4.54389
1154,4.42519
1160,4.41676
1157,4.44391
1182,4.4466
1170,4.45948
1195,4.31953
1156,4.4519
1139,4.42715
1160,4.43475
1162,4.43167
1173,4.56391
1151,4.44163
1099,4.44467
1116,4.44562
1148,4.31491
1158,4.4261
1122,4.30959
1116,4.46661
1110,4.46681
1132,4.42071
1115,4.48764
1107,73.003
1105,4.40917
1133,4.28462
1122,4.31459
1119,4.51706
1105,4.39991
1103,4.33769
1105,4.34484
1105,4.41348
1118,4.34379
1074,4.40074
1073,4.40182
1063,4.3435
1064,4.42701
1062,4.3961
1089,4.40361
1083,4.41343
1043,4.40936
1033,4.42033
1035,4.42743
1019,4.42358
1020,4.35923
1012,4.38498
1037,4.31665
1040,4.24597
1033,4.37835
1010,4.32661
1026,4.4047
1016,4.34458
1011,4.4122
1000,4.33187
1001,4.32502
1010,4.35803
977,4.35758
1004,4.22891
978,4.35163
979,4.34348
965,4.32928
935,4.2234
990,4.35092
1002,4.35904
957,4.32621
947,4.18983
937,4.1873
936,4.30549
942,4.29259
931,4.17338
926,4.30855
927,4.31792
932,4.18473
962,4.33808
956,4.34622
955,4.32614
911,72.6161
941,4.31119
927,4.26341
890,4.30474
931,69.3504
921,4.3125
903,4.2703
911,4.26873
925,4.25609
898,4.29247
897,4.30317
885,4.18348
879,4.31609
876,4.17647
854,4.18093
860,4.30004
897,4.17547
876,4.30363
851,4.30604
878,4.31553
889,4.18805
854,4.31276
865,4.32207
873,4.29632
821,4.3244
810,4.15307
843,4.27135
839,4.27056
868,4.25528
819,4.14889
850,4.2757
867,4.13593
859,4.26639
811,4.13039
827,4.16571
811,4.15948
780,4.26989
791,4.11268
799,4.1519
798,4.28912
794,4.28972
789,4.25861
792,4.0969
785,4.26475
826,4.18537
829,4.21293
801,4.21526
756,4.21673
782,4.22488
781,4.20561
764,4.19806
774,4.2011
786,4.21114
758,4.19402
748,4.20626
800,4.21576
730,4.20213
775,4.1802
733,4.18472
728,4.14688
769,4.1742
707,4.16505
730,4.17421
697,4.18374
762,4.19749
711,4.18787
742,4.17678
726,4.20089
704,4.19551
1998,4.20636
1991,4.85217
1989,4.78879
1958,4.70232
1953,4.64573
1968,4.61157
1961,4.59482
1948,4.57378
1956,4.54791
1916,4.52107
1914,4.52909
1921,4.50365
1896,4.50018
1909,4.46648
1879,4.46647
1887,4.45385
1887,4.42648
1869,4.42669
1855,4.40902
1864,4.39142
1857,4.37679
1847,4.36419
1837,4.36541
1825,4.34729
1834,4.39521
1829,4.37662
1815,4.37285
1796,4.35535
1784,4.34134
1798,4.33463
1795,4.32597
1781,4.30748
1769,4.30137
1764,4.29281
1757,4.28345
1740,4.2742
1734,4.26293
1751,4.25354
1767,4.24495
1749,4.23815
1725,4.24149
1704,4.22842
1718,4.21266
1707,4.21741
1688,4.20917
1703,4.20672
1702,4.19776
1682,4.19468
1682,29.4811
1675,4.19741
1665,4.19124
1674,4.18742
1672,4.17871
1657,4.1687
1647,4.16093
1631,4.16125
1645,4.15104
1612,4.14969
1639,4.13649
1630,4.13552
1618,4.12728
1627,4.23672
1603,4.24494
1602,4.24311
1589,4.22945
1582,4.22695
1580,4.2133
1585,4.20784
1575,4.19915
1556,4.20955
1568,4.20421
1562,4.18996
1561,12.5506
1540,5.00659
1532,4.17326
1545,4.1693
1548,4.1601
1523,21.177
1522,4.15478
1507,4.15437
1508,4.14423
1516,4.1234
1503,4.11999
1516,4.12116
1486,4.13513
1489,4.13454
1475,4.12727
1481,4.12245
1479,4.12146
1471,4.1299
1466,4.11276
1449,4.1072
1445,4.09136
1447,4.09093
1459,4.10614
1445,4.08605
1428,4.0843
1427,4.07475
1432,4.07435
1413,4.08052
1415,4.06411
1406,4.07826
1412,4.05955
1400,4.05576
1392,4.05823
1393,4.04508
1392,4.04763
1362,4.04337
1374,4.03857
1392,4.02354
1374,4.02239
1356,21.1572
1347,1.80652
1346,4.01289
1342,4.01784
1347,15.3755
1339,2.30851
1302,16.8812
1328,2.10278
1331,2.15217
1311,3.98194
1297,4.00243
1309,3.98342
1306,3.96761
1299,4.51554
1279,3.94646
1275,3.93349
1290,3.94127
1280,3.5068
1274,3.92712
1264,3.93427
1254,3.93077
1268,3.92017
1258,3.92748
1257,3.9226
1244,3.93342
1248,3.92617
1252,3.92556
1252,3.85794
1224,4.20802
1239,4.82756
1224,2.65373
1221,4.18207
1208,4.18384
1188,4.23529
1195,4.17715
1197,4.17768
824,1.95965
1047,4.47374
1088,4.406
1137,4.53351
1154,4.44975
1160,4.43965
1157,4.44368
1182,4.46974
1170,4.46758
1195,4.32759
1156,4.43143
1139,4.39777
1160,4.38482
1162,4.41543
1173,4.55181
1151,4.44582
1099,4.44895
1116,4.4251
1148,4.29129
1158,4.40876
1122,4.29286
1116,4.42056
1110,4.41511
1132,4.36844
1115,4.42395
1107,4.41648
1105,4.36444
1133,4.29379
1122,4.36936
1119,4.54461
1105,4.41494
1103,4.36235
1105,4.35346
1105,4.41384
1118,4.35119
1074,4.40692
1073,4.39258
1063,4.31427
1064,4.40602
1062,4.41511
1089,4.41829
1083,4.41119
1043,4.4083
1033,4.40416
1035,4.40503
1019,4.40699
1020,4.34041
1012,4.35782
1037,4.28704
1040,4.20626
1033,4.37953
1010,4.32427
1026,4.3642
1016,4.31074
1011,4.3824
1000,4.30907
1001,4.31232
1010,4.34078
977,4.3412
1004,4.22522
978,4.3404
979,4.35312
965,4.33239
935,4.21954
990,4.34352
1002,4.3367
957,4.33015
947,4.2023
937,4.20291
936,4.33032
942,4.32277
931,4.19047
926,4.32137
927,4.32049
932,4.20173
962,4.32862
956,4.31594
955,4.32128
911,4.31454
941,4.32792
927,4.33126
890,4.31825
931,4.30879
921,4.30855
903,4.27649
911,4.25933
925,4.28055
898,4.27912
897,4.29673
885,4.18606
879,4.3088
876,4.18352
854,4.18189
860,4.30025
897,4.17869
876,4.29725
851,4.29988
878,4.29103
889,4.17118
854,4.29767
865,4.29597
873,4.29069
821,4.29089
810,4.17562
843,4.2955
839,4.30521
868,4.29612
819,4.16416
850,4.30696
867,4.17639
859,4.29636
811,4.16584
827,4.16299
811,4.16732
780,4.29273
791,4.15487
799,4.15646
798,4.29038
794,4.29584
789,4.2424
792,4.10651
785,4.25645
826,4.18824
829,4.2173
801,4.21817
756,4.2148
782,4.22585
781,4.20498
764,4.20187
774,4.20459
786,4.22377
758,4.19831
748,4.22178
800,4.21377
730,4.19728
775,4.23155
