rho,time
85,2.28939
85,2.15261
66,2.04201
64,1.97562
61,4.00686
59,2.67547
55,2.29839
54,1.95791
50,1.9135
49,1.92473
48,1.91212
47,1.93167
46,1.9319
44,1.87373
618,4.13186
1006,2.93466
647,2.57552
362,4.59103
195,2.40937
127,1.45203
82,2.90146
74,1.09119
60,1.10042
51,1.69242
42,1.01106
41,1.00735
34,1.25817
29,0.764804
85,1.9964
85,6.76513
66,6.32117
64,6.82773
61,6.29898
59,6.75055
55,6.5502
54,5.48615
50,5.76878
49,6.18117
48,6.0611
47,5.25825
46,6.4991
44,5.21567
618,7.52277
1006,2.9858
647,2.18673
362,4.23842
195,1.92618
127,1.22645
82,2.48252
74,1.19138
60,0.922822
51,1.80512
42,0.706327
41,0.794905
34,1.47384
29,0.7139
85,2.02509
85,6.64617
66,6.0713
64,6.62807
61,6.6196
59,5.93359
55,6.36939
54,5.05932
50,6.50797
49,5.64101
48,6.55477
47,5.22787
46,5.41025
44,5.28197
618,9.66754
1006,6.45399
647,6.02967
362,5.59658
195,5.4153
127,4.85971
82,4.3603
74,4.22069
60,3.82771
51,4.03244
42,3.96878
41,3.66616
34,3.12061
29,3.60155
85,2.06291
85,6.29795
66,6.78958
64,6.17968
61,6.41983
59,6.41842
55,6.44596
54,6.37083
50,6.00503
49,6.43841
48,6.1584
47,6.75441
46,6.32933
44,5.65686
618,9.67266
1006,6.3532
647,5.80533
362,5.55787
195,5.20757
127,5.02543
82,4.14542
74,3.57869
60,3.74749
51,4.1231
42,3.54651
41,3.15424
34,3.56231
29,3.15282
85,2.01813
85,6.71837
66,5.49525
64,6.5707
61,6.40045
59,6.74635
55,4.95905
54,6.78482
50,5.65912
49,5.51086
48,6.08522
47,6.74529
46,6.54396
44,6.25767
618,9.40842
1006,6.44051
647,6.00681
362,5.46738
195,5.13979
127,4.92699
82,4.70421
74,4.04668
60,3.75824
51,3.68539
42,3.92647
41,3.62436
34,3.86511
29,3.57508
