rho,time
98,0.1278
77,0.1736
54,0.1425
41,0.1326
21,0.1158
14,0.1076
20,0.0591
15,0.1868
17,0.254
14,0.239
14,0.2352
13,0.2392
98,0.1224
77,0.1821
54,0.1563
41,0.1569
21,0.1444
14,0.1306
20,0.05925
15,0.1725
17,0.241
14,0.1349
14,0.2493
13,0.1775
98,0.1291
77,0.1466
54,0.09843
41,0.1895
21,0.09629
14,0.1782
20,0.05797
15,0.1651
17,0.1627
14,0.247
14,0.2917
13,0.2915
98,0.1328
77,0.1692
54,0.1327
41,0.1817
21,0.1227
14,0.1161
20,0.06265
15,0.1645
17,0.2854
14,0.1911
14,0.1971
13,0.2312
98,0.1248
77,0.1873
54,0.1584
41,0.1486
21,0.1489
14,0.1365
20,0.05851
15,0.1902
17,0.1511
14,0.2575
14,0.1826
13,0.233
98,0.1315
77,0.1291
54,0.1003
41,0.1597
21,0.08756
14,0.08551
20,0.05711
15,0.2721
17,0.2301
14,0.2715
14,0.2707
13,0.227
98,0.1238
77,0.106
54,0.0796
41,0.1782
21,0.1721
14,0.165
20,0.05745
15,0.2752
17,0.1412
14,0.1377
14,0.2351
13,0.2689
98,0.136
77,0.1537
54,0.1173
41,0.1659
21,0.09958
14,0.1111
20,0.05795
15,0.1678
17,0.2443
14,0.1564
14,0.2657
13,0.2428
98,0.123
77,0.1645
54,0.1827
41,0.1054
21,0.09143
14,0.08433
20,0.05709
15,0.2381
17,0.2389
14,0.2321
14,0.2724
13,0.2323
98,0.1319
77,0.1753
54,0.1576
41,0.1204
21,0.1236
14,0.1131
20,0.05759
15,0.2445
17,0.2417
14,0.2482
14,0.2566
13,0.1474
