rho,time
85,13.9609
85,14.0444
66,13.5687
64,13.2988
61,13.3246
59,13.3601
55,13.2034
54,13.3069
50,13.0954
49,13.0888
48,13.1314
47,13.0223
46,13.049
44,7.95269
618,16.6407
1006,14.6811
647,13.6138
362,12.7316
195,12.0428
127,11.31
82,11.5609
74,11.075
60,11.3976
51,11.3929
42,11.2412
41,11.2536
34,11.2694
29,11.8583
85,13.7494
85,14.0945
66,13.5764
64,13.4061
61,13.2632
59,13.3282
55,13.2591
54,13.0928
50,12.899
49,12.9458
48,12.8983
47,12.9329
46,12.8167
44,7.74757
618,16.7872
1006,15.0833
647,13.8086
362,12.8514
195,12.047
127,11.3555
82,11.5751
74,10.8157
60,11.1452
51,11.0936
42,11.0349
41,10.9743
34,10.9423
29,11.5444
85,13.6423
85,14.0743
66,13.6399
64,13.3933
61,13.2787
59,13.4246
55,13.3556
54,13.3053
50,13.0859
49,13.0274
48,12.969
47,12.8926
46,12.8406
44,8.84263
618,16.5536
1006,14.7478
647,13.5595
362,12.826
195,11.8946
127,11.1939
82,11.6188
74,10.8831
60,11.2505
51,10.9869
42,10.9009
41,10.8189
34,10.7886
29,11.4205
85,13.5905
85,14.0642
66,13.4445
64,13.2535
61,13.1757
59,13.2505
55,13.2
54,13.1843
50,13.1154
49,13.1448
48,13.1025
47,13.1311
46,12.9959
44,9.78666
618,15.9402
1006,14.4314
647,13.3316
362,12.5163
195,11.8145
127,11.0913
82,11.389
74,10.6482
60,10.9607
51,10.9164
42,10.8636
41,10.8355
34,10.7995
29,11.4285
85,13.8523
85,14.1919
66,13.7293
64,13.1364
61,13.0279
59,13.2166
55,13.1646
54,13.1194
50,13.0567
49,13.0837
48,13.1364
47,12.9752
46,12.9862
44,8.5345
618,16.3716
1006,14.8444
647,13.75
362,12.7632
195,11.9332
127,11.2883
82,11.5356
74,10.7939
60,11.1616
51,11.0858
42,10.9827
41,10.9772
34,10.9168
29,11.5409
