rho,time
85,2.14316
85,7.86308
66,7.47211
64,7.81675
61,7.46942
59,7.582
55,7.1839
54,7.47461
50,7.53494
49,7.41138
48,6.96564
47,6.78304
46,6.89524
44,7.05087
618,10.333
1006,7.45916
647,7.02972
362,6.85149
195,6.31522
127,6.05053
82,5.66638
74,5.02755
60,5.38756
51,5.36077
42,4.86981
41,5.13227
34,4.90039
29,5.10649
85,1.91878
85,14.3467
66,14.3
64,7.10804
61,13.9715
59,14.3074
55,14.0291
54,13.4774
50,7.09179
49,13.0715
48,6.68493
47,5.95032
46,6.93471
44,14.3548
618,9.04258
1006,7.45918
647,7.13081
362,6.6699
195,5.73047
127,5.99214
82,6.79556
74,5.24587
60,4.98021
51,4.03887
42,4.50224
41,4.04361
34,4.37414
29,3.83642
85,1.9409
85,8.01927
66,8.09454
64,7.22672
61,7.28233
59,7.4576
55,7.77521
54,7.60684
50,7.2828
49,7.5697
48,6.52232
47,7.91842
46,7.11943
44,6.44364
618,11.1675
1006,2.03124
647,1.83872
362,1.72273
195,1.64456
127,1.11179
82,0.966976
74,0.826828
60,0.750523
51,0.683747
42,0.634432
41,0.583896
34,0.556917
29,0.557904
85,1.88979
85,14.1737
66,12.7408
64,8.42546
61,12.6575
59,7.77519
55,13.0897
54,12.2158
50,12.1487
49,6.19267
48,12.5032
47,12.0136
46,6.76126
44,6.83551
618,8.84716
1006,7.67003
647,7.46757
362,6.86345
195,6.39449
127,6.06651
82,5.73092
74,5.06122
60,5.06076
51,5.02963
42,4.85077
41,4.66192
34,4.69181
29,4.76989
85,1.92494
85,7.66762
66,8.11671
64,7.63269
61,6.95888
59,7.65409
55,7.46877
54,6.27287
50,7.67213
49,7.47065
48,7.39611
47,6.67467
46,7.1278
44,6.57073
618,11.0922
1006,2.03328
647,1.85197
362,1.73431
195,1.65279
127,1.12105
82,0.972091
74,0.831469
60,0.757013
51,0.691502
42,0.640967
41,0.592032
34,0.55825
29,0.55737
