rho,time
98,0.08195
77,0.06064
54,0.04457
41,0.0385
21,0.03489
14,0.04391
20,0.03317
15,0.04418
17,0.04128
14,0.04464
14,0.03919
13,0.04126
98,0.08779
77,0.05716
54,0.0442
41,0.04114
21,0.03771
14,0.03575
20,0.03354
15,0.04322
17,0.04675
14,0.04391
14,0.04717
13,0.04116
98,0.08757
77,0.05589
54,0.04465
41,0.04074
21,0.03637
14,0.04687
20,0.03254
15,0.039
17,0.04339
14,0.04208
14,0.04084
13,0.04144
98,0.08097
77,0.06915
54,0.04678
41,0.0435
21,0.03835
14,0.03564
20,0.03296
15,0.03975
17,0.04576
14,0.04346
14,0.04462
13,0.04578
98,0.08432
77,0.05686
54,0.04528
41,0.04009
21,0.04212
14,0.03566
20,0.03273
15,0.04531
17,0.04018
14,0.04239
14,0.04558
13,0.04128
98,0.0887
77,0.09787
54,0.08714
41,0.07913
21,0.07159
14,0.06974
20,0.03252
15,0.03984
17,0.04019
14,0.04331
14,0.04372
13,0.04219
98,0.08734
77,0.0605
54,0.04672
41,0.04569
21,0.03748
14,0.04063
20,0.03233
15,0.04313
17,0.04058
14,0.03984
14,0.04446
13,0.04003
98,0.08084
77,0.05948
54,0.04713
41,0.04074
21,0.03464
14,0.03435
20,0.03209
15,0.04476
17,0.04287
14,0.04643
14,0.04191
13,0.04154
98,0.1404
77,0.1168
54,0.1044
41,0.1051
21,0.1039
14,0.09924
20,0.03288
15,0.0687
17,0.06242
14,0.06208
14,0.06207
13,0.06675
98,0.1494
77,0.1431
54,0.1398
41,0.1333
21,0.1328
14,0.1296
20,0.06171
15,0.1603
17,0.184
14,0.1957
14,0.2007
13,0.1998
