rho,time
85,2.74969
85,2.10795
66,13.72
64,2.0093
61,2.01796
59,2.03179
55,2.02041
54,2.03594
50,2.01794
49,2.00603
48,2.00761
47,2.00418
46,1.99942
44,1.99658
618,5.77761
1006,12.9596
647,12.3064
362,11.0456
195,9.19464
127,11.643
82,7.10695
74,7.11151
60,7.63692
51,7.16251
42,6.6809
41,6.92128
34,10.9264
29,8.11515
85,2.46314
85,2.52348
66,2.23895
64,7.11307
61,3.80012
59,2.8557
55,5.08656
54,4.31376
50,3.80472
49,5.42154
48,3.93421
47,3.94334
46,4.59176
44,4.2345
618,4.29445
1006,7.74353
647,9.13532
362,2.05882
195,1.96964
127,1.42107
82,1.28916
74,1.12954
60,1.06056
51,0.997664
42,0.951307
41,0.906481
34,0.877294
29,0.894244
85,2.64855
85,2.09241
66,11.7658
64,4.46477
61,4.74902
59,3.60914
55,4.51549
54,4.27891
50,3.70493
49,5.09757
48,4.11564
47,3.47824
46,5.00978
44,4.15411
618,4.96049
1006,23.021
647,25.4672
362,10.7342
195,10.1892
127,9.21664
82,8.74514
74,6.88888
60,7.22605
51,9.06738
42,6.38122
41,6.3652
34,6.35728
29,8.60609
85,2.51945
85,2.07191
66,13.5987
64,2.0053
61,2.00411
59,2.02136
55,2.01057
54,2.00816
50,2.01074
49,2.00762
48,2.00078
47,1.99531
46,2.00121
44,1.99184
618,5.38953
1006,12.774
647,12.6902
362,11.5274
195,10.9884
127,9.90185
82,9.78692
74,9.3994
60,9.18547
51,8.60334
42,8.08172
41,9.03893
34,8.98362
29,7.98876
85,2.52113
85,2.09844
66,11.2911
64,5.00102
61,4.07298
59,3.64488
55,5.03034
54,4.39165
50,3.29525
49,5.00084
48,4.41065
47,3.37091
46,4.42015
44,3.80987
618,5.79534
1006,19.115
647,23.8778
362,23.6361
195,13.0082
127,9.92701
82,8.93263
74,9.34416
60,7.18981
51,8.76266
42,8.82321
41,8.88789
34,8.72501
29,8.64162
