rho,time
98,0.1041
77,0.0999
54,0.07251
41,0.07953
21,0.06178
14,0.07003
20,0.03943
15,0.1226
17,0.08231
14,0.07588
14,0.1399
13,0.08561
98,0.1527
77,0.08508
54,0.06964
41,0.06719
21,0.06268
14,0.06058
20,0.04123
15,0.07498
17,0.07219
14,0.07324
14,0.07192
13,0.06955
98,0.1115
77,0.08639
54,0.06845
41,0.06585
21,0.06224
14,0.06155
20,0.03905
15,0.1417
17,0.0844
14,0.07775
14,0.141
13,0.07458
98,0.11
77,0.08336
54,0.07199
41,0.06246
21,0.05713
14,0.05804
20,0.03918
15,0.137
17,0.07401
14,0.07155
14,0.06874
13,0.06973
98,0.1773
77,0.1185
54,0.09751
41,0.1004
21,0.08036
14,0.08813
20,0.04097
15,0.09872
17,0.08919
14,0.09064
14,0.09015
13,0.0962
98,0.1169
77,0.08703
54,0.06552
41,0.062
21,0.05864
14,0.09871
20,0.04638
15,0.08638
17,0.1822
14,0.1031
14,0.08823
13,0.1452
98,0.1157
77,0.09393
54,0.07562
41,0.07277
21,0.068
14,0.06467
20,0.04457
15,0.09446
17,0.1099
14,0.1479
14,0.1493
13,0.07975
98,0.1087
77,0.0959
54,0.08252
41,0.06779
21,0.06807
14,0.06843
20,0.03981
15,0.1089
17,0.09269
14,0.07921
14,0.1039
13,0.1596
98,0.1091
77,0.09358
54,0.07858
41,0.07026
21,0.06268
14,0.0628
20,0.03938
15,0.07958
17,0.1418
14,0.09123
14,0.1495
13,0.1456
98,0.1072
77,0.08807
54,0.07657
41,0.06839
21,0.06633
14,0.05909
20,0.04146
15,0.1343
17,0.1062
14,0.152
14,0.08941
13,0.1348
