rho,time
85,7.09343
85,5.07609
66,43.8307
64,13.6732
61,13.3171
59,10.5276
55,13.8963
54,13.2151
50,10.1313
49,13.2329
48,13.4082
47,10.4313
46,13.0963
44,12.9897
618,13.8253
1006,14.7996
647,13.5862
362,13.6135
195,12.0083
127,11.4643
82,5.29557
74,10.1671
60,11.1827
51,28.0142
42,11.1778
41,10.9538
34,10.9996
29,27.9376
85,6.73738
85,5.15571
66,44.783
64,4.28173
61,4.21537
59,4.2431
55,4.25648
54,4.21832
50,4.23758
49,4.22597
48,4.18962
47,4.19904
46,4.18655
44,4.17592
618,13.7548
1006,14.6417
647,13.507
362,13.9614
195,17.3272
127,11.2503
82,9.19955
74,8.82054
60,11.0894
51,11.0032
42,11.0883
41,11.2616
34,11.3765
29,11.657
85,6.72512
85,5.10435
66,44.1402
64,13.674
61,13.5626
59,10.2043
55,13.3924
54,13.3541
50,10.4333
49,13.4637
48,13.4048
47,10.5285
46,13.5992
44,13.4806
618,13.6149
1006,14.7136
647,13.5635
362,11.1742
195,5.99687
127,11.3103
82,11.6788
74,11.2742
60,11.1014
51,10.9857
42,10.9539
41,11.4001
34,16.7075
29,11.3426
85,6.45389
85,5.03313
66,8.80631
64,13.6396
61,13.4998
59,13.6555
55,24.7119
54,4.61289
50,4.21095
49,11.6365
48,7.40305
47,6.79647
46,7.06938
44,6.00962
618,13.793
1006,14.7111
647,13.8849
362,13.0079
195,12.1453
127,11.6311
82,11.9518
74,11.1158
60,11.2548
51,11.1786
42,11.1143
41,11.0488
34,10.0683
29,11.8823
85,6.53107
85,5.00993
66,40.9856
64,6.22689
61,4.20045
59,4.21751
55,4.26276
54,4.21704
50,4.23298
49,4.21536
48,4.2084
47,4.23139
46,4.19749
44,4.20296
618,14.3564
1006,15.5083
647,13.7365
362,13.4415
195,8.91313
127,11.4811
82,20.5159
74,10.7905
60,11.1356
51,11.0821
42,11.0788
41,10.9944
34,10.9792
29,11.6269
